Entry	Entry name	Protein names	Gene names	Organism	EC number	Function [CC]	Pathway	Annotation	Site	Gene ontology (GO)	Gene ontology (biological process)
D9R248	D9R248_CLOSW	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	rsgA Closa_2119	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.6.1.-	FUNCTION: One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit. {ECO:0000256|HAMAP-Rule:MF_01820, ECO:0000256|SAAS:SAAS00711467}.		3 out of 5		cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]; ribosomal small subunit biogenesis [GO:0042274]	ribosomal small subunit biogenesis [GO:0042274]
D9R231	D9R231_CLOSW	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB Closa_2102	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.1.26.4	FUNCTION: Endonuclease that specifically degrades the RNA of RNA-DNA hybrids. {ECO:0000256|HAMAP-Rule:MF_00052, ECO:0000256|RuleBase:RU003515, ECO:0000256|SAAS:SAAS01082238}.		3 out of 5		cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; RNA catabolic process [GO:0006401]	RNA catabolic process [GO:0006401]
D9R4R1	D9R4R1_CLOSW	Homoserine dehydrogenase (EC 1.1.1.3)	Closa_0617	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	1.1.1.3		PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3. {ECO:0000256|RuleBase:RU000579}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5. {ECO:0000256|RuleBase:RU000579}.	3 out of 5		homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	isoleucine biosynthetic process [GO:0009097]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]
D9RAG4	D9RAG4_CLOSW	Ion-translocating oxidoreductase complex subunit D (EC 7.-.-.-) (Rnf electron transport complex subunit D)	rnfD Closa_1646	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	7.-.-.-	FUNCTION: Part of a membrane-bound complex that couples electron transfer with translocation of ions across the membrane. {ECO:0000256|HAMAP-Rule:MF_00462}.		3 out of 5		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; oxidoreductase activity [GO:0016491]; electron transport chain [GO:0022900]; transmembrane transport [GO:0055085]	electron transport chain [GO:0022900]; transmembrane transport [GO:0055085]
D9R6X6	D9R6X6_CLOSW	ATP-dependent helicase/deoxyribonuclease subunit B (EC 3.1.-.-) (EC 3.6.4.12)	Closa_1015	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.1.-.-; 3.6.4.12	FUNCTION: ATP-dependent DNA helicase. {ECO:0000256|SAAS:SAAS01036103}.		3 out of 5		4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; DNA binding [GO:0003677]; exonuclease activity [GO:0004527]; metal ion binding [GO:0046872]; double-strand break repair via homologous recombination [GO:0000724]	double-strand break repair via homologous recombination [GO:0000724]
D9RAV5	D9RAV5_CLOSW	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)	thiM Closa_3629	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.1.50	FUNCTION: Catalyzes the phosphorylation of the hydroxyl group of 4-methyl-5-beta-hydroxyethylthiazole (THZ). {ECO:0000256|HAMAP-Rule:MF_00228, ECO:0000256|SAAS:SAAS01096931}.	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis; 4-methyl-5-(2-phosphoethyl)-thiazole from 5-(2-hydroxyethyl)-4-methylthiazole: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00228, ECO:0000256|SAAS:SAAS00137039}.	3 out of 5		ATP binding [GO:0005524]; hydroxyethylthiazole kinase activity [GO:0004417]; magnesium ion binding [GO:0000287]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
D9R7W0	D9R7W0_CLOSW	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	hemC Closa_3081	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.5.1.61	FUNCTION: Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps. {ECO:0000256|HAMAP-Rule:MF_00260, ECO:0000256|SAAS:SAAS00347445}.	PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; coproporphyrinogen-III from 5-aminolevulinate: step 2/4. {ECO:0000256|HAMAP-Rule:MF_00260}.	3 out of 5		hydroxymethylbilane synthase activity [GO:0004418]; protoporphyrinogen IX biosynthetic process [GO:0006782]	protoporphyrinogen IX biosynthetic process [GO:0006782]
D9QZZ2	D9QZZ2_CLOSW	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	ispG Closa_1860	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	1.17.7.3	FUNCTION: Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate. {ECO:0000256|HAMAP-Rule:MF_00159, ECO:0000256|SAAS:SAAS00947916}.	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 5/6. {ECO:0000256|HAMAP-Rule:MF_00159, ECO:0000256|SAAS:SAAS00951740}.	3 out of 5		4 iron, 4 sulfur cluster binding [GO:0051539]; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity [GO:0046429]; iron ion binding [GO:0005506]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]
D9R442	D9R442_CLOSW	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	ispE Closa_0519	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.1.148	FUNCTION: Catalyzes the phosphorylation of the position 2 hydroxy group of 4-diphosphocytidyl-2C-methyl-D-erythritol. {ECO:0000256|HAMAP-Rule:MF_00061, ECO:0000256|SAAS:SAAS01090930}.	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 3/6. {ECO:0000256|HAMAP-Rule:MF_00061}.	3 out of 5		4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity [GO:0050515]; ATP binding [GO:0005524]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]
D9R0N2	D9R0N2_CLOSW	Biotin carboxylase (EC 6.3.4.14) (EC 6.4.1.2)	Closa_0038	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	6.3.4.14; 6.4.1.2	FUNCTION: This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA. {ECO:0000256|RuleBase:RU365063}.	PATHWAY: Lipid metabolism; malonyl-CoA biosynthesis; malonyl-CoA from acetyl-CoA: step 1/1. {ECO:0000256|RuleBase:RU365063}.	3 out of 5		acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]	fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]
D9R4R2	D9R4R2_CLOSW	Aspartokinase (EC 2.7.2.4)	Closa_0618	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.2.4		PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 1/4. {ECO:0000256|RuleBase:RU004249}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 1/3. {ECO:0000256|RuleBase:RU004249}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 1/5. {ECO:0000256|RuleBase:RU004249}.	3 out of 5		aspartate kinase activity [GO:0004072]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]
D9R8R0	D9R8R0_CLOSW	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	rlmH Closa_3260	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.1.1.177	FUNCTION: Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA. {ECO:0000256|HAMAP-Rule:MF_00658, ECO:0000256|SAAS:SAAS01091432}.		3 out of 5		cytoplasm [GO:0005737]; rRNA (pseudouridine-N3-)-methyltransferase activity [GO:0070038]	
D9R469	D9R469_CLOSW	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig Closa_2366	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	5.2.1.8	FUNCTION: Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase. {ECO:0000256|HAMAP-Rule:MF_00303}.		3 out of 5		cytoplasm [GO:0005737]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; cell cycle [GO:0007049]; cell division [GO:0051301]; protein folding [GO:0006457]; protein transport [GO:0015031]	cell cycle [GO:0007049]; cell division [GO:0051301]; protein folding [GO:0006457]; protein transport [GO:0015031]
D9R780	D9R780_CLOSW	Riboflavin biosynthesis protein [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]	Closa_2978	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.1.26; 2.7.7.2		PATHWAY: Cofactor biosynthesis; FAD biosynthesis; FAD from FMN: step 1/1. {ECO:0000256|PIRNR:PIRNR004491}.; PATHWAY: Cofactor biosynthesis; FMN biosynthesis; FMN from riboflavin (ATP route): step 1/1. {ECO:0000256|PIRNR:PIRNR004491}.	3 out of 5		ATP binding [GO:0005524]; FMN adenylyltransferase activity [GO:0003919]; riboflavin kinase activity [GO:0008531]; FAD biosynthetic process [GO:0006747]; FMN biosynthetic process [GO:0009398]; riboflavin biosynthetic process [GO:0009231]	FAD biosynthetic process [GO:0006747]; FMN biosynthetic process [GO:0009398]; riboflavin biosynthetic process [GO:0009231]
D9R2E3	D9R2E3_CLOSW	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT Closa_2215	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	6.1.1.20			3 out of 5		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; tRNA binding [GO:0000049]; phenylalanyl-tRNA aminoacylation [GO:0006432]	phenylalanyl-tRNA aminoacylation [GO:0006432]
D9R6W5	D9R6W5_CLOSW	Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	rhaD Closa_1004	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	4.1.2.19	FUNCTION: Catalyzes the reversible cleavage of L-rhamnulose-1-phosphate to dihydroxyacetone phosphate (DHAP) and L-lactaldehyde. {ECO:0000256|HAMAP-Rule:MF_00770, ECO:0000256|SAAS:SAAS00123077}.	PATHWAY: Carbohydrate degradation; L-rhamnose degradation; glycerone phosphate from L-rhamnose: step 3/3. {ECO:0000256|HAMAP-Rule:MF_00770, ECO:0000256|SAAS:SAAS00363275}.	3 out of 5		cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; rhamnulose-1-phosphate aldolase activity [GO:0008994]; rhamnose catabolic process [GO:0019301]	rhamnose catabolic process [GO:0019301]
D9R110	D9R110_CLOSW	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG Closa_1978	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.4.2.17	FUNCTION: Catalyzes the condensation of ATP and 5-phosphoribose 1-diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity. {ECO:0000256|HAMAP-Rule:MF_01018, ECO:0000256|SAAS:SAAS00046314}.	PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 1/9. {ECO:0000256|HAMAP-Rule:MF_01018, ECO:0000256|SAAS:SAAS00046315}.	3 out of 5		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; histidine biosynthetic process [GO:0000105]	histidine biosynthetic process [GO:0000105]
D9R4G5	D9R4G5_CLOSW	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH Closa_2466	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.1.1.199	FUNCTION: Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA. {ECO:0000256|HAMAP-Rule:MF_01007}.		3 out of 5		cytoplasm [GO:0005737]; rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]; rRNA base methylation [GO:0070475]	rRNA base methylation [GO:0070475]
D9R966	D9R966_CLOSW	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	argC Closa_3288	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	1.2.1.38	FUNCTION: Catalyzes the NADPH-dependent reduction of N-acetyl-5-glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde. {ECO:0000256|HAMAP-Rule:MF_00150, ECO:0000256|SAAS:SAAS01081944}.	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate: step 3/4. {ECO:0000256|HAMAP-Rule:MF_00150, ECO:0000256|SAAS:SAAS01096212}.	3 out of 5		cytoplasm [GO:0005737]; N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; protein dimerization activity [GO:0046983]; arginine biosynthetic process [GO:0006526]	arginine biosynthetic process [GO:0006526]
D9R256	D9R256_CLOSW	Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA)	priA Closa_2127	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.6.4.-	FUNCTION: Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA. {ECO:0000256|HAMAP-Rule:MF_00983}.		2 out of 5		primosome complex [GO:1990077]; ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]; DNA replication, synthesis of RNA primer [GO:0006269]; DNA unwinding involved in DNA replication [GO:0006268]	DNA replication, synthesis of RNA primer [GO:0006269]; DNA unwinding involved in DNA replication [GO:0006268]
D9R9V7	D9R9V7_CLOSW	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB Closa_1560	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.11.1	FUNCTION: Binds to sigma F and blocks its ability to form an RNA polymerase holoenzyme (E-sigma F). Phosphorylates SpoIIAA on a serine residue. This phosphorylation may enable SpoIIAA to act as an anti-anti-sigma factor that counteracts SpoIIAB and thus releases sigma F from inhibition. {ECO:0000256|HAMAP-Rule:MF_00637}.		2 out of 5		ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; negative regulation of transcription, DNA-templated [GO:0045892]; sporulation resulting in formation of a cellular spore [GO:0030435]	asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; negative regulation of transcription, DNA-templated [GO:0045892]; sporulation resulting in formation of a cellular spore [GO:0030435]
D9R312	D9R312_CLOSW	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)	pstB Closa_0365	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	7.3.2.1	FUNCTION: Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system. {ECO:0000256|HAMAP-Rule:MF_01702, ECO:0000256|SAAS:SAAS00742467}.		2 out of 5		plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase-coupled phosphate ion transmembrane transporter activity [GO:0015415]; inorganic phosphate transmembrane transporter activity [GO:0005315]	
D9R7I5	D9R7I5_CLOSW	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS Closa_1098	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	6.1.1.6			2 out of 5		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; lysyl-tRNA aminoacylation [GO:0006430]	lysyl-tRNA aminoacylation [GO:0006430]
D9R661	D9R661_CLOSW	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	lepA Closa_0876	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.6.5.n1	FUNCTION: Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back-translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner. {ECO:0000256|HAMAP-Rule:MF_00071}.		2 out of 5		plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; positive regulation of translation [GO:0045727]	positive regulation of translation [GO:0045727]
D9R305	D9R305_CLOSW	Endonuclease MutS2 (EC 3.1.-.-)	mutS2 Closa_0358	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.1.-.-	FUNCTION: Endonuclease that is involved in the suppression of homologous recombination and may therefore have a key role in the control of bacterial genetic diversity. {ECO:0000256|HAMAP-Rule:MF_00092, ECO:0000256|SAAS:SAAS00250937}.		2 out of 5		ATP binding [GO:0005524]; ATPase activity [GO:0016887]; endonuclease activity [GO:0004519]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298]; negative regulation of DNA recombination [GO:0045910]	mismatch repair [GO:0006298]; negative regulation of DNA recombination [GO:0045910]
D9R366	D9R366_CLOSW	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	ruvB Closa_2237	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.6.4.12	FUNCTION: The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. {ECO:0000256|HAMAP-Rule:MF_00016}.		2 out of 5		ATP binding [GO:0005524]; DNA binding [GO:0003677]; four-way junction helicase activity [GO:0009378]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]
D9QZN2	D9QZN2_CLOSW	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA Closa_3738	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.7.6	FUNCTION: DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. {ECO:0000256|HAMAP-Rule:MF_00059}.		2 out of 5		DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]
D9R659	D9R659_CLOSW	Germination protease (EC 3.4.24.78) (GPR endopeptidase) (Germination proteinase) (Spore protease)	gpr Closa_0874	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.4.24.78	FUNCTION: Initiates the rapid degradation of small, acid-soluble proteins during spore germination. {ECO:0000256|HAMAP-Rule:MF_00626}.		2 out of 5		metalloendopeptidase activity [GO:0004222]; spore germination [GO:0009847]	spore germination [GO:0009847]
D9R0C8	D9R0C8_CLOSW	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM Closa_3843	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	5.4.2.10	FUNCTION: Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate. {ECO:0000256|HAMAP-Rule:MF_01554, ECO:0000256|RuleBase:RU004327, ECO:0000256|SAAS:SAAS00566919}.		2 out of 5		magnesium ion binding [GO:0000287]; phosphoglucosamine mutase activity [GO:0008966]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]
D9R9D0	D9R9D0_CLOSW	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA Closa_3354	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	6.3.5.7	FUNCTION: Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). {ECO:0000256|HAMAP-Rule:MF_00120}.		2 out of 5		glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; amidase activity [GO:0004040]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; transferase activity [GO:0016740]; translation [GO:0006412]	translation [GO:0006412]
D9R0W7	D9R0W7_CLOSW	Meso-diaminopimelate D-dehydrogenase (DAPDH) (Meso-DAP dehydrogenase) (EC 1.4.1.16)	Closa_0123	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	1.4.1.16	FUNCTION: Catalyzes the reversible NADPH-dependent reductive amination of L-2-amino-6-oxopimelate, the acyclic form of L-tetrahydrodipicolinate, to generate the meso compound, D,L-2,6-diaminopimelate. {ECO:0000256|PIRNR:PIRNR025648}.	PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; DL-2,6-diaminopimelate from (S)-tetrahydrodipicolinate: step 1/1. {ECO:0000256|PIRNR:PIRNR025648}.	2 out of 5		diaminopimelate dehydrogenase activity [GO:0047850]; nucleotide binding [GO:0000166]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]
D9R4S1	D9R4S1_CLOSW	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)	rnz Closa_0627	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.1.26.11	FUNCTION: Zinc phosphodiesterase, which displays some tRNA 3'-processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA. {ECO:0000256|HAMAP-Rule:MF_01818}.		2 out of 5		3'-tRNA processing endoribonuclease activity [GO:0042781]; zinc ion binding [GO:0008270]	
D9R302	D9R302_CLOSW	Putative tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase)	Closa_0355	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.1.1.207	FUNCTION: Could methylate the ribose at the nucleotide 34 wobble position in tRNA. {ECO:0000256|HAMAP-Rule:MF_01885}.		2 out of 5		cytoplasm [GO:0005737]; RNA binding [GO:0003723]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; tRNA methyltransferase activity [GO:0008175]	
D9R1A8	D9R1A8_CLOSW	Ribonuclease H (RNase H) (EC 3.1.26.4)	rnhA Closa_2076	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.1.26.4	FUNCTION: Endonuclease that specifically degrades the RNA of RNA-DNA hybrids. {ECO:0000256|HAMAP-Rule:MF_00042, ECO:0000256|SAAS:SAAS01082064}.		2 out of 5		cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; RNA catabolic process [GO:0006401]	RNA catabolic process [GO:0006401]
